Keyword,Currency,Avg. monthly searches,Thay đổi trong ba tháng,Thay đổi so với cùng kỳ năm trước,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
du lịch nhatrang,VND,8100,84%,-18%,Trung bình,53,301,6639,,,,,,9900,12100,14800,12100,8100,4400,8100,2900,4400,4400,5400,8100
thành phố nha trang,VND,5400,175%,83%,Thấp,2,1180,15811,,,,,,5400,5400,6600,6600,5400,3600,3600,3600,3600,3600,9900,9900
resort nha trang,VND,4400,50%,-45%,Cao,97,1404,10457,,,,,,8100,5400,6600,6600,4400,2400,2400,1600,1900,2400,3600,3600
sân bay nha trang,VND,4400,50%,50%,Thấp,6,508,8431,,,,,,8100,5400,5400,5400,4400,2900,2900,2400,2400,4400,3600,6600
tour nha trang,VND,2900,89%,0%,Trung bình,60,2003,6360,,,,,,4400,5400,5400,4400,3600,1600,1300,1000,1900,1900,2400,3600
green world nha trang,VND,4400,22%,22%,Thấp,25,1839,18001,,,,,,4400,5400,6600,6600,5400,2900,2400,1900,3600,3600,4400,4400
hòn mun,VND,2900,83%,83%,Thấp,4,1544,13375,,,,,,3600,2900,4400,4400,4400,1600,1600,1300,1900,2400,2900,4400
bãi tranh nha trang,VND,2900,81%,0%,Thấp,12,809,4469,,,,,,3600,4400,6600,5400,3600,1600,1600,1000,1300,1600,2400,2900
chợ đầm nha trang,VND,2900,53%,21%,Thấp,5,269,10461,,,,,,2400,2900,4400,4400,3600,1900,1900,1600,1600,1900,2400,2900
hòn lao,VND,2400,19%,19%,Thấp,1,,,,,,,,1900,2400,4400,4400,2900,1300,1300,880,1000,1600,2900,1900
hòn rớ,VND,2400,21%,53%,Thấp,3,,,,,,,,1900,1900,2400,3600,2900,2400,1900,2400,1900,2400,1900,2900
tháp bà ponagar nha trang,VND,2400,53%,0%,Thấp,20,114,6994,,,,,,2900,2400,3600,4400,2400,1900,2400,1900,1900,1900,1600,2900
tour nha trang 3 ngày 2 đêm,VND,1900,90%,-34%,Trung bình,56,2261,6544,,,,,,2400,3600,4400,2900,2400,1300,880,720,880,1000,1000,1900
nhà nghỉ nha trang,VND,1900,82%,-16%,Thấp,32,1535,20269,,,,,,2400,1300,1900,2400,1600,880,880,880,880,880,6600,1600
nha trang attractions,VND,1900,-17%,-17%,Cao,100,2879,21272,,,,,,2900,1600,1600,1900,1600,1300,1600,1000,1900,2900,1900,2400
nha trang beach,VND,1900,0%,-17%,Thấp,23,5904,57283,,,,,,2400,1600,1900,2400,1900,1300,1600,1600,1900,2400,1900,2400
khách sạn ở nha trang,VND,1600,81%,-32%,Cao,89,2195,13354,,,,,,2900,1600,2400,2400,2400,720,720,590,720,720,2400,1300
hotel nha trang,VND,1600,0%,-33%,Trung bình,54,5253,36361,,,,,,2400,1300,1900,2400,1900,880,720,720,880,1600,4400,1600
